sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C1d	C1bl	C42.2	C21	C1	C3	71003_C	C3cg	C1b	C1k	C3at	C1bi	114_C	C3db	C3b	C3av	C115k	110_C	C21af	C3dp	37676_C	21208_C	C3eg	C21e	41218_C	41217_C	C3ab	38920_C	24569_C	322_C	41216_C	41215_C	41226_C	71030_C	118_C	C1au	41221_C	C45c	71028_C	71029_C	43252_C	12_C	C1c	436490_C	23413_C	21709_C	54162_C	8129_C	41224_C	123_C	893_C	18746_C	41228_C	43224_C	307_C	C72k	102264_C	43240_C	70995_C	70996_C	15680_C	70997_C	115_C	71031_C	436491_C	14603_C	834_C	21931_C	C50f	C1al	C1w	849_C	C1j	C3u	42940_C
77240	PociA_T4	16779	13063	388	13063	388	0	0	0	0	12442	14	0	0	694	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	06.06.2017	3-5m	6015	2343	1730	0	884	0	290	176	198	224	0	178	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	65	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0
77312	Rec15_T4	31095	24820	699	24820	699	0	0	0	0	23376	14	0	0	977	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.06.2021	0m	11323	4653	2799	0	1701	271	537	402	504	366	0	263	234	0	0	0	117	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77246	PociC_T4	15555	12035	351	12035	351	0	0	0	0	11475	13	0	0	538	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	06.06.2017	3-5m	5517	2151	1585	0	835	0	225	228	193	230	0	138	162	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77243	PociB_T4	30739	25016	633	25016	633	0	0	0	0	23612	15	0	0	1476	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	06.06.2017	3-5m	11128	4542	3160	0	1734	0	415	392	486	361	0	219	437	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	154	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0
77265	Rec4_T1	31838	25683	650	25683	650	0	0	0	0	23957	15	0	0	1013	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2018	0m	11247	4592	3004	0	1774	129	510	611	662	369	0	273	265	0	0	0	174	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77261	Rec3_T1	32149	26278	566	26278	566	0	0	0	0	24643	15	0	0	904	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2017	0m	11560	5050	2778	0	1771	133	587	594	697	381	0	311	0	0	0	0	196	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	131	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77241	PociB_T2	40311	32342	872	32342	872	0	0	0	0	30365	15	0	0	1560	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	17.04.2017	3-5m	13865	5487	4105	0	2734	174	555	757	711	449	0	320	489	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	208	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77239	PociA_T3	25334	19959	551	19959	551	0	0	0	0	18727	15	0	0	991	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	08.05.2017	3-5m	8443	3442	2601	0	1662	131	347	439	441	266	0	173	287	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77281	Rec8_T1	33462	26712	745	26712	745	0	0	0	0	25066	16	0	0	1097	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2019	0m	11755	4829	2953	0	1925	0	491	689	650	401	0	283	216	0	0	0	225	130	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	117	127	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77285	Rec9_T1	58014	47767	1062	47767	1062	0	0	0	0	45165	16	0	0	1959	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2019	0m	20847	8656	5122	0	3875	0	973	1432	1320	640	0	445	334	0	0	0	417	217	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	206	214	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
