sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B1	C1d	C42.2	C1	C1bl	C3cg	114_C	C1k	C1bi	C1b	C3.12	C15h	110_C	C1cc	C3	C115k	C1au	C3cw	21709_C	111_C	115_C	C45c	121_C	130_C	C42ap	70785_C	C41p	21860_C	196_C	22063_C	43252_C	70786_C	32895_C	566_C	653_C	C1j	C93a	445_C	762_C	C1ba	43223_C	278_C	C116s	C15dp	C116r	9921_C	9920_C	272047_C	11020_C	280263_C	139389_C	167208_C	C15	517266_C	C66	9922_C	69850_C	69849_C	22296_C	134_C	889616_C	1593_C	889617_C	D1bt	D1	D6	D4	D1bs	70776_D	70774_D	D1h	32578_D	15825_D	70775_D	D1bu	D2.2	70780_D	70778_D	70777_D	70779_D	D4c	10556_D	D6b	45776_D	151558_D	70781_D	14506_D	D4p	D1n	268437_D	D1g	D2c	205624_D	11298_D	70783_D	70784_D	14549_D	10082_D	14166_D	14233_D	268486_D	D17d	D17j	D17l	10614_D	D17e	10616_D	D17c	D17k	D4s	11827_D	D17f	889612_D	889613_D	889614_D	889615_D
106063	T5_13	81135	63687	581	63687	581	0	0	0	0	59436	20	0	0	0	11411	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	19.01.26	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15840	9932	11042	7933	1621	1436	1393	888	1308	1325	1394	0	478	1106	1167	832	0	291	0	0	0	517	295	0	0	0	369	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106065	T5_16	261697	213825	1919	213820	1918	0	0	5	1	197801	22	0	0	4	38664	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	19.01.28	1-2m	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48678	35044	37296	26794	5377	4623	4926	3081	4657	4300	4376	0	1792	3509	3621	2977	1949	1056	0	0	0	1552	1010	0	0	0	1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106068	T5_20	142535	115450	1094	115450	1094	0	0	0	0	109006	32	0	0	35	21055	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	19.01.31	1-2m	0	129	42	9	29	6	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	6	6	6	6	0	0	0	27901	19131	19638	14728	2731	3241	2498	1501	2725	2687	2377	0	859	1927	1907	1495	1008	530	0	0	0	0	0	0	0	0	697	669	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106051	T0_16	171761	140898	1292	140890	1291	8	1	0	0	131995	21	0	0	0	26321	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.32	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31847	24082	24337	17386	3144	4141	2791	2044	3621	3213	2675	0	1198	2372	2206	1577	1101	687	0	0	0	1139	0	0	0	0	835	949	0	0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106062	T5_11	184904	153213	1478	153190	1476	0	0	23	2	143291	27	0	0	336	22516	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	19.01.25	1-2m	0	0	0	0	0	0	0	0	0	0	0	8160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	296	264	186	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29662	27013	27247	18176	3426	2840	2521	2616	2947	2522	2323	0	1532	2052	2068	1838	1097	711	0	0	0	1028	697	0	0	0	0	870	0	0	0	0	0	0	0	0	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106042	T0_7	141014	119297	927	119297	927	0	0	0	0	116623	10	0	0	6059	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.24	1-2m	0	85001	19770	3029	0	0	1309	1556	1208	0	0	0	0	0	0	0	0	0	0	0	974	0	0	0	0	2459	0	0	0	0	0	800	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106060	T5_8	97001	80480	760	80480	760	0	0	0	0	78118	10	0	0	1739	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	19.01.23	1-2m	0	55404	14224	2268	0	465	0	2233	1284	0	0	0	600	501	0	0	0	0	0	433	0	0	0	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106038	T0_3	214651	182009	1080	182009	1080	0	0	0	0	172497	11	0	0	4336	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.20	1-2m	0	136411	12713	9395	0	3396	4336	0	964	1084	1222	0	0	0	0	884	756	1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106043	T0_8	196199	164272	1264	164272	1264	0	0	0	0	159383	11	0	0	5143	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.25	1-2m	0	105354	33280	4985	0	1046	0	5319	3006	0	0	0	1480	1250	0	0	0	0	0	1079	0	0	898	1686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106057	T5_3	105600	86019	1082	85993	1078	26	4	0	0	80958	45	0	0	1459	2067	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	19.01.20	1-2m	34	45848	10213	3473	1165	776	1055	1086	935	0	366	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1199	3201	2336	3795	114	113	130	392	121	172	93	698	432	91	97	112	0	110	310	348	104	0	0	199	110	0	0	0	0	96	0	89	84	0	83	0	0	0	198	165	124	101	128	72	99	87	0	0	0	0	0	0	0
106039	T0_4	158046	131755	1285	131755	1285	0	0	0	0	126376	15	0	0	5672	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.21	1-2m	0	54459	34317	8701	9423	2309	1502	3814	3257	1890	781	0	1633	1753	0	0	0	0	0	860	805	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
