sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	61701_A	A2b	71004_A	71008_A	C1d	C1bl	C42.2	C1	C1b	C3cg	C1bm	C1k	71003_C	114_C	C1bi	70997_C	C3	70995_C	C115k	70996_C	C45c	110_C	C1au	C1j	118_C	21931_C	70999_C	33500_C	71001_C	71000_C	71002_C	307_C	43224_C	123_C	322_C	115_C	196_C	21709_C	657_C	95_C	126_C	71005_C	71006_C	71009_C	317_C	316_C	D5
77160	AdM2dz	37638	33038	748	33038	748	0	0	0	0	31006	14	0	0	1496	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	15674	6460	3269	1773	583	603	0	611	735	278	347	0	0	0	190	0	0	181	0	0	0	0	0	0	0	0	0	0	148	0	0	154	0	0	0	0	0	0	0	0	0	0	0
77161	AdM2ez	49655	44206	887	44206	887	0	0	0	0	41387	14	0	0	2134	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	20744	8516	4521	2467	804	762	0	764	1056	413	462	0	0	0	213	0	0	256	0	0	0	0	0	0	0	0	0	0	216	0	0	193	0	0	0	0	0	0	0	0	0	0	0
77154	AdM1cz	40737	35885	795	35885	795	0	0	0	0	33086	13	0	0	1476	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	15713	6067	3908	2860	974	875	0	554	677	393	407	0	0	0	252	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0
77153	AdM1bz	49510	43754	925	43754	925	0	0	0	0	40630	14	0	0	1762	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	19730	7683	4893	2974	972	895	0	780	857	420	528	0	0	0	220	0	0	273	193	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0
77152	AdM1az	36431	31832	721	31832	721	0	0	0	0	29868	14	0	0	1518	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	14531	5770	3485	2217	644	658	0	535	672	341	333	0	0	0	177	0	0	220	0	0	0	0	0	0	0	0	0	0	0	144	0	141	0	0	0	0	0	0	0	0	0	0	0
77177	LarM1cz	29160	25187	676	25187	676	0	0	0	0	23417	14	0	0	1140	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	11351	4398	2741	1763	588	629	0	364	485	186	316	0	0	0	127	0	0	252	0	0	0	0	0	0	0	0	0	0	104	0	113	0	0	0	0	0	0	0	0	0	0	0	0
77201	RecM1dz	29104	24797	684	24797	684	0	0	0	0	23676	14	0	0	1061	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	11899	4699	2498	1503	455	520	0	470	552	0	332	0	0	0	124	0	115	295	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	105	0	0	0	0	0	0
77175	LarM1az	25407	22040	577	22040	577	0	0	0	0	20819	15	0	0	985	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	10075	3987	2411	1485	516	474	0	406	452	163	267	0	0	0	113	0	100	185	0	0	0	0	0	0	0	0	0	0	0	89	96	0	0	0	0	0	0	0	0	0	0	0	0
77179	LarM1ez	26500	23071	571	23071	571	0	0	0	0	21508	16	0	0	967	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	10259	4141	2404	1498	603	594	0	387	437	158	292	0	110	0	144	0	0	175	109	0	0	0	0	0	0	0	0	0	0	103	94	0	0	0	0	0	0	0	0	0	0	0	0
77204	RecM2bz	44116	40120	597	40120	597	0	0	0	0	38195	17	0	0	1897	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	18346	8409	3433	2237	940	985	0	630	973	0	421	0	222	0	270	0	216	358	189	0	0	0	0	0	0	0	0	242	161	0	0	0	0	0	0	0	163	0	0	0	0	0	0
