sample_name,name,value,index,host_genus_meta,host_species_meta,published,sample_name_index
KAc_020,C41-C1-C41b-C41g-C1b-C41m,7076.0,1000.pdf,NA,NA,y,KAc_020-1000.pdf
KAc_043,C41-C1-C41b-C41g-C1b-C41m,7532.0,1000.pdf,NA,NA,y,KAc_043-1000.pdf
KAc_031,C41-C1-C41b-C41g-C1b-C41m,4256.0,1000.pdf,NA,NA,y,KAc_031-1000.pdf
KAa_012,C41-C1-C41b-C41g-C1b-C41m,2175.0,1000.pdf,NA,NA,y,KAa_012-1000.pdf
KAa_012,D5/D4/D9b-D1bq,1630.0,1000.pdf,NA,NA,y,KAa_012-1000.pdf
ALa_041,A1-A1c-A1h-A1q,5157.0,1000.pdf,NA,NA,y,ALa_041-1000.pdf
KAb_006,A1-A1c-A1h-A1q,8530.0,1000.pdf,NA,NA,y,KAb_006-1000.pdf
ALb_027,A1-A1c-A1h-A1q,6478.0,1000.pdf,NA,NA,y,ALb_027-1000.pdf
YBa_019,A1-A1c-A1h-A1q,4057.0,1000.pdf,NA,NA,y,YBa_019-1000.pdf
YBb_022,A1-A1c-A1h-A1q,4483.0,1000.pdf,NA,NA,y,YBb_022-1000.pdf
ALa_027,A1-A1c-A1h-A1q,5874.0,1000.pdf,NA,NA,y,ALa_027-1000.pdf
KAc_038,A1-A1c-A1h-A1q,9989.0,1000.pdf,NA,NA,y,KAc_038-1000.pdf
KAc_025,A1-A1c-A1h-A1q,10293.0,1000.pdf,NA,NA,y,KAc_025-1000.pdf
KAc_002,A1-A1c-A1h-A1q,6930.0,1000.pdf,NA,NA,y,KAc_002-1000.pdf
ALb_015,A1-A1c-A1h-A1q,5055.0,1000.pdf,NA,NA,y,ALb_015-1000.pdf
KAc_044,A1-A1c-A1h-A1q,6903.0,1000.pdf,NA,NA,y,KAc_044-1000.pdf
KAc_026,A1-A1c-A1h-A1q,10376.0,1000.pdf,NA,NA,y,KAc_026-1000.pdf
KAa_050,A1-A1c-A1h-A1q,5774.0,1000.pdf,NA,NA,y,KAa_050-1000.pdf
YBa_022,A1-A1c-A1h-A1q,4395.0,1000.pdf,NA,NA,y,YBa_022-1000.pdf
KAc_049,A1-A1c-A1h-A1q,4490.0,1000.pdf,NA,NA,y,KAc_049-1000.pdf
KAa_046,A1-A1c-A1h-A1q,3982.0,1000.pdf,NA,NA,y,KAa_046-1000.pdf
KAa_006,A1-A1c-A1h-A1q,4198.0,1000.pdf,NA,NA,y,KAa_006-1000.pdf
KAa_025,A1-A1c-A1h-A1q,4853.0,1000.pdf,NA,NA,y,KAa_025-1000.pdf
KAa_010,A1-A1c-A1h-A1q,3608.0,1000.pdf,NA,NA,y,KAa_010-1000.pdf
ALb_003,A1-A1c-A1h-A1q,4866.0,1000.pdf,NA,NA,y,ALb_003-1000.pdf
YBb_016,A1-A1c-A1h-A1q,2801.0,1000.pdf,NA,NA,y,YBb_016-1000.pdf
YBb_016,C41-C1-C41b-C41g-C1b-C41m,423.0,1000.pdf,NA,NA,y,YBb_016-1000.pdf
KAa_047,A1-A1c-A1h-A1q,4577.0,1000.pdf,NA,NA,y,KAa_047-1000.pdf
KAa_047,C41-C1-C41b-C41j-C41g,682.0,1000.pdf,NA,NA,y,KAa_047-1000.pdf
YBa_007,A1-A1c-A1h-A1q,1930.0,1000.pdf,NA,NA,y,YBa_007-1000.pdf
YBa_007,C3-C3au,1426.0,1000.pdf,NA,NA,y,YBa_007-1000.pdf
ADb_023,C3/C3c-C3gulf,510.0,1000.pdf,NA,NA,y,ADb_023-1000.pdf
ADb_004,C3/C3c-C3gulf,1616.0,1000.pdf,NA,NA,y,ADb_004-1000.pdf
ADa_020,C3/C3c-C3gulf,1902.0,1000.pdf,NA,NA,y,ADa_020-1000.pdf
ADc_027,C3/C3c-C3gulf,2469.0,1000.pdf,NA,NA,y,ADc_027-1000.pdf
ADa_019,C3/C3c-C3gulf,1174.0,1000.pdf,NA,NA,y,ADa_019-1000.pdf
AGb_065,C3/C3c-C3gulf,69891.0,1000.pdf,NA,NA,y,AGb_065-1000.pdf
AGb_065,D1-D17-D4-D6-D2.2-D2-D17b,491.0,1000.pdf,NA,NA,y,AGb_065-1000.pdf
ADb_006,C3/C3c-C3gulf,666.0,1000.pdf,NA,NA,y,ADb_006-1000.pdf
ADc_010,C3/C3c-C3gulf,861.0,1000.pdf,NA,NA,y,ADc_010-1000.pdf
ADb_028,C3/C3c-C3gulf,1319.0,1000.pdf,NA,NA,y,ADb_028-1000.pdf
ADa_001,C3/C3c-C3gulf,696.0,1000.pdf,NA,NA,y,ADa_001-1000.pdf
ADb_048,C3/C3c-C3gulf,2492.0,1000.pdf,NA,NA,y,ADb_048-1000.pdf
ADa_046,C3/C3c-C3gulf,951.0,1000.pdf,NA,NA,y,ADa_046-1000.pdf
ADc_008,C3/C3c-C3gulf,761.0,1000.pdf,NA,NA,y,ADc_008-1000.pdf
ADa_055,C3/C3c-C3gulf,704.0,1000.pdf,NA,NA,y,ADa_055-1000.pdf
AGc_143,C3/C3c-C3gulf,47955.0,1000.pdf,NA,NA,y,AGc_143-1000.pdf
AGc_143,D1-D17-D4-D6-D2.2-D2-D17b,2786.0,1000.pdf,NA,NA,y,AGc_143-1000.pdf
ADa_040,C3/C3c-C3gulf,587.0,1000.pdf,NA,NA,y,ADa_040-1000.pdf
ADc_017,C3/C3c-C3gulf,2085.0,1000.pdf,NA,NA,y,ADc_017-1000.pdf
AGc_126,C3/C3c-C3gulf,4700.0,1000.pdf,NA,NA,y,AGc_126-1000.pdf
ADc_001,C3/C3c-C3gulf,610.0,1000.pdf,NA,NA,y,ADc_001-1000.pdf
ADb_007,C3/C3c-C3gulf,669.0,1000.pdf,NA,NA,y,ADb_007-1000.pdf
ADb_001,C3/C3c-C3gulf,1457.0,1000.pdf,NA,NA,y,ADb_001-1000.pdf
ADb_001,C3by,100.0,1000.pdf,NA,NA,y,ADb_001-1000.pdf
ADa_008,C3/C3c-C3gulf,792.0,1000.pdf,NA,NA,y,ADa_008-1000.pdf
ADa_027,C3/C3c-C3gulf,948.0,1000.pdf,NA,NA,y,ADa_027-1000.pdf
ADd_041,C39-C39q-C39b-C1-C39p,518.0,1000.pdf,NA,NA,y,ADd_041-1000.pdf
OMb_076,C39-C39q-C39b-C1-C39p,2449.0,1000.pdf,NA,NA,y,OMb_076-1000.pdf
ADd_047,C39-C39q-C39b-C1-C39p,784.0,1000.pdf,NA,NA,y,ADd_047-1000.pdf
ADd_017,C39-C39q-C39b-C1-C39p,1496.0,1000.pdf,NA,NA,y,ADd_017-1000.pdf
ADd_035,C39-C39q-C39b-C1-C39p,1101.0,1000.pdf,NA,NA,y,ADd_035-1000.pdf
ADd_015,C39-C39q-C39b-C1-C39p,1293.0,1000.pdf,NA,NA,y,ADd_015-1000.pdf
ADe_008,C39-C39q-C39b-C1-C39p,833.0,1000.pdf,NA,NA,y,ADe_008-1000.pdf
OMd_025,C39-C39q-C39b-C1-C39p,504.0,1000.pdf,NA,NA,y,OMd_025-1000.pdf
ADe_021,C39-C39q-C39b-C1-C39p,644.0,1000.pdf,NA,NA,y,ADe_021-1000.pdf
OMc_047,C39-C39q-C39b-C1-C39p,1349.0,1000.pdf,NA,NA,y,OMc_047-1000.pdf
ADd_036,C39-C39q-C39b-C1-C39p,1016.0,1000.pdf,NA,NA,y,ADd_036-1000.pdf
